param_name,biome,forcing,criteria,variable,measure,x
default,Temperate rain forest,CTL2010,QVEGT_mean_Temperate rain forest,QVEGT,mean,1.3236563398905994e-08
default,Temperate rain forest,CTL2010,QVEGT_iav_Temperate rain forest,QVEGT,iav,2.4173209066902043e-10
default,Temperate seasonal forest,CTL2010,QVEGT_mean_Temperate seasonal forest,QVEGT,mean,7.985330106577766e-07
default,Temperate seasonal forest,CTL2010,QVEGT_iav_Temperate seasonal forest,QVEGT,iav,1.94671266254539e-08
default,Woodland/shrubland,CTL2010,QVEGT_mean_Woodland/shrubland,QVEGT,mean,1.2778902275712618e-06
default,Woodland/shrubland,CTL2010,QVEGT_iav_Woodland/shrubland,QVEGT,iav,5.639355053432926e-08
default,Temperate grassland/desert,CTL2010,QVEGT_mean_Temperate grassland/desert,QVEGT,mean,2.306403480175688e-07
default,Temperate grassland/desert,CTL2010,QVEGT_iav_Temperate grassland/desert,QVEGT,iav,2.4933551585725208e-08
default,Boreal forest,CTL2010,QVEGT_mean_Boreal forest,QVEGT,mean,5.755792217280644e-07
default,Boreal forest,CTL2010,QVEGT_iav_Boreal forest,QVEGT,iav,2.0062879072949856e-08
default,Tundra,CTL2010,QVEGT_mean_Tundra,QVEGT,mean,3.0423804013550236e-07
default,Tundra,CTL2010,QVEGT_iav_Tundra,QVEGT,iav,1.0449951417051612e-08
default,Ice sheet,CTL2010,QVEGE_mean_Ice sheet,QVEGE,mean,-4.0669142416739456e-11
default,Ice sheet,CTL2010,QVEGE_iav_Ice sheet,QVEGE,iav,1.4256652099795685e-11
default,Tropical rain forest,CTL2010,QVEGE_mean_Tropical rain forest,QVEGE,mean,4.656905037073031e-07
default,Tropical rain forest,CTL2010,QVEGE_iav_Tropical rain forest,QVEGE,iav,3.2617535748143236e-08
default,Tropical seasonal forest/savanna,CTL2010,QVEGE_mean_Tropical seasonal forest/savanna,QVEGE,mean,1.5918284672802385e-06
default,Tropical seasonal forest/savanna,CTL2010,QVEGE_iav_Tropical seasonal forest/savanna,QVEGE,iav,5.5688315741243965e-08
default,Subtropical desert,CTL2010,QVEGE_mean_Subtropical desert,QVEGE,mean,9.887666507657768e-08
default,Subtropical desert,CTL2010,QVEGE_iav_Subtropical desert,QVEGE,iav,1.258399824969838e-08
default,Temperate rain forest,CTL2010,QVEGE_mean_Temperate rain forest,QVEGE,mean,1.2363365510264149e-08
default,Temperate rain forest,CTL2010,QVEGE_iav_Temperate rain forest,QVEGE,iav,7.604549677596706e-10
default,Temperate seasonal forest,CTL2010,QVEGE_mean_Temperate seasonal forest,QVEGE,mean,2.4844370858849713e-07
default,Temperate seasonal forest,CTL2010,QVEGE_iav_Temperate seasonal forest,QVEGE,iav,1.1877598838693191e-08
