param_name,biome,criteria,rank,variable,measure,xmin,xmax,range
csoilc,global,EFLX_LH_TOT_MEAN_global,40,EFLX_LH_TOT,mean,37.374471404704835,37.9378002915376,0.5633288868327639
grperc,global,EFLX_LH_TOT_MEAN_global,41,EFLX_LH_TOT,mean,37.66399896219107,37.15032535719622,0.5136736049948496
KCN,global,EFLX_LH_TOT_MEAN_global,42,EFLX_LH_TOT,mean,37.50167876974808,36.99588631331672,0.5057924564313652
rholvis,global,EFLX_LH_TOT_MEAN_global,43,EFLX_LH_TOT,mean,37.2694115965478,37.768692700807385,0.4992811042595875
z0mr,global,EFLX_LH_TOT_MEAN_global,44,EFLX_LH_TOT,mean,37.26624383542916,37.75132240300415,0.4850785675749947
rholnir,global,EFLX_LH_TOT_MEAN_global,45,EFLX_LH_TOT,mean,37.68801747987978,37.21841822308859,0.4695992567911915
cp25_yr2000,global,EFLX_LH_TOT_MEAN_global,46,EFLX_LH_TOT,mean,37.901272681249964,37.43515556198948,0.46611711926048116
xl,global,EFLX_LH_TOT_MEAN_global,47,EFLX_LH_TOT,mean,37.782890827639214,37.318159445559274,0.4647313820799397
frootcn,global,EFLX_LH_TOT_MEAN_global,48,EFLX_LH_TOT,mean,37.26869061948019,37.71680829725364,0.44811767777345324
lmrha,global,EFLX_LH_TOT_MEAN_global,49,EFLX_LH_TOT,mean,37.23189670396732,37.666666270442825,0.43476956647550224
maxpsi_hr,global,EFLX_LH_TOT_MEAN_global,50,EFLX_LH_TOT,mean,37.71019268756029,37.30046474613194,0.40972794142835056
rootprof_beta,global,EFLX_LH_TOT_MEAN_global,51,EFLX_LH_TOT,mean,37.34130713390797,37.70672841690945,0.36542128300148136
kc25_coef,global,EFLX_LH_TOT_MEAN_global,52,EFLX_LH_TOT,mean,37.240414079270934,37.5899050227722,0.34949094350126586
clay_pf,global,EFLX_LH_TOT_MEAN_global,53,EFLX_LH_TOT,mean,37.31933267030999,37.667312244375715,0.3479795740657252
kn_nonmyc,global,EFLX_LH_TOT_MEAN_global,54,EFLX_LH_TOT,mean,37.49901481869462,37.17620362334925,0.3228111953453663
pc,global,EFLX_LH_TOT_MEAN_global,55,EFLX_LH_TOT,mean,37.30046474613194,37.61140150708239,0.3109367609504545
k_nitr_max_perday,global,EFLX_LH_TOT_MEAN_global,56,EFLX_LH_TOT,mean,37.66781436910205,37.39280279702991,0.2750115720721382
taulvis,global,EFLX_LH_TOT_MEAN_global,57,EFLX_LH_TOT,mean,37.39664990507953,37.65968227265404,0.2630323675745103
displar,global,EFLX_LH_TOT_MEAN_global,58,EFLX_LH_TOT,mean,37.40314210707646,37.654243539247915,0.25110143217145264
cpha,global,EFLX_LH_TOT_MEAN_global,59,EFLX_LH_TOT,mean,37.62747249003031,37.37770539093658,0.24976709909372374
wind_snowcompact_fact,global,EFLX_LH_TOT_MEAN_global,60,EFLX_LH_TOT,mean,37.30046474613194,37.55006707907408,0.24960233294214618
rf_s2s1_bgc,global,EFLX_LH_TOT_MEAN_global,61,EFLX_LH_TOT,mean,37.30046474613194,37.544643583871505,0.24417883773956817
accum_factor,global,EFLX_LH_TOT_MEAN_global,62,EFLX_LH_TOT,mean,37.30046474613194,37.54325836010547,0.24279361397353227
lai_dl,global,EFLX_LH_TOT_MEAN_global,63,EFLX_LH_TOT,mean,37.30046474613194,37.53928540311979,0.23882065698785482
fd_pft,global,EFLX_LH_TOT_MEAN_global,64,EFLX_LH_TOT,mean,37.65946286743695,37.422031738717756,0.23743112871919436
br_root,global,EFLX_LH_TOT_MEAN_global,65,EFLX_LH_TOT,mean,37.65403843037116,37.41714941366801,0.23688901670315232
fsr_pft,global,EFLX_LH_TOT_MEAN_global,66,EFLX_LH_TOT,mean,37.65939886341393,37.42263084595635,0.23676801745757814
cn_s3_bgc,global,EFLX_LH_TOT_MEAN_global,67,EFLX_LH_TOT,mean,37.30046474613194,37.536309546960126,0.2358448008281897
aq_sp_yield_min,global,EFLX_LH_TOT_MEAN_global,68,EFLX_LH_TOT,mean,37.52907671417519,37.30046474613194,0.22861196804325346
a_coef,global,EFLX_LH_TOT_MEAN_global,69,EFLX_LH_TOT,mean,37.5285720351736,37.30046474613194,0.22810728904166666
rstem,global,EFLX_LH_TOT_MEAN_global,70,EFLX_LH_TOT,mean,37.61970090182827,37.3928887132413,0.22681218858696894
a_exp,global,EFLX_LH_TOT_MEAN_global,71,EFLX_LH_TOT,mean,37.30046474613194,37.52317164106774,0.2227068949358042
ko25_coef,global,EFLX_LH_TOT_MEAN_global,72,EFLX_LH_TOT,mean,37.63062751445443,37.416955946317046,0.21367156813738575
slopebeta,global,EFLX_LH_TOT_MEAN_global,73,EFLX_LH_TOT,mean,37.474652119670914,37.66270969156325,0.18805757189233674
zbedrock_sf,global,EFLX_LH_TOT_MEAN_global,74,EFLX_LH_TOT,mean,37.42919850880529,37.6102162910984,0.18101778229311094
lmrhd,global,EFLX_LH_TOT_MEAN_global,75,EFLX_LH_TOT,mean,37.268195394508915,37.44507173511848,0.17687634060956725
jmax25top_sf,global,EFLX_LH_TOT_MEAN_global,76,EFLX_LH_TOT,mean,37.41589953309667,37.59008723847726,0.17418770538058936
freelivfix_slope_wet,global,EFLX_LH_TOT_MEAN_global,77,EFLX_LH_TOT,mean,37.46730440583861,37.637961001144845,0.17065659530623378
q10_mr,global,EFLX_LH_TOT_MEAN_global,78,EFLX_LH_TOT,mean,37.460090291367194,37.29555431921101,0.16453597215618743
slopemax,global,EFLX_LH_TOT_MEAN_global,79,EFLX_LH_TOT,mean,37.423586760489286,37.58267599700044,0.15908923651115714
minpsi_hr,global,EFLX_LH_TOT_MEAN_global,80,EFLX_LH_TOT,mean,37.601425022521425,37.451454054162404,0.14997096835902113
koha,global,EFLX_LH_TOT_MEAN_global,81,EFLX_LH_TOT,mean,37.445520054408874,37.594820645825,0.14930059141612873
jmaxha,global,EFLX_LH_TOT_MEAN_global,82,EFLX_LH_TOT,mean,37.48609022438131,37.34885241433242,0.13723781004888735
n_baseflow,global,EFLX_LH_TOT_MEAN_global,83,EFLX_LH_TOT,mean,37.30046474613194,37.43033333206756,0.12986858593562545
tpuhd,global,EFLX_LH_TOT_MEAN_global,84,EFLX_LH_TOT,mean,37.5536587240113,37.42589165100556,0.1277670730057423
upplim_destruct_metamorph,global,EFLX_LH_TOT_MEAN_global,85,EFLX_LH_TOT,mean,37.5845689750155,37.47267064368289,0.11189833133261118
relhExp,global,EFLX_LH_TOT_MEAN_global,86,EFLX_LH_TOT,mean,37.447746329288904,37.555278824331786,0.1075324950428822
r_mort,global,EFLX_LH_TOT_MEAN_global,87,EFLX_LH_TOT,mean,37.467567625079525,37.57218344630809,0.10461582122856328
e_ice,global,EFLX_LH_TOT_MEAN_global,88,EFLX_LH_TOT,mean,37.58648084058537,37.48791633037128,0.0985645102140893
prh30,global,EFLX_LH_TOT_MEAN_global,89,EFLX_LH_TOT,mean,37.45882197059583,37.55578521643617,0.09696324584034244
rhosnir,global,EFLX_LH_TOT_MEAN_global,90,EFLX_LH_TOT,mean,37.57888728466062,37.48383926226681,0.09504802239380439
croot_stem,global,EFLX_LH_TOT_MEAN_global,91,EFLX_LH_TOT,mean,37.579010563057665,37.48713263476192,0.09187792829574448
pot_hmn_ign_counts_alpha,global,EFLX_LH_TOT_MEAN_global,92,EFLX_LH_TOT,mean,37.579173965519175,37.489341435951744,0.08983252956743115
tau_s1,global,EFLX_LH_TOT_MEAN_global,93,EFLX_LH_TOT,mean,37.554920677953795,37.46574926346779,0.08917141448600319
lwtop_ann,global,EFLX_LH_TOT_MEAN_global,94,EFLX_LH_TOT,mean,37.47895715151892,37.56763137296234,0.0886742214434193
fbw,global,EFLX_LH_TOT_MEAN_global,95,EFLX_LH_TOT,mean,37.44798090267942,37.534262596999596,0.08628169432017785
tau_l2_l3,global,EFLX_LH_TOT_MEAN_global,96,EFLX_LH_TOT,mean,37.55244026061182,37.47383664117757,0.07860361943424721
slatop,global,EFLX_LH_TOT_MEAN_global,97,EFLX_LH_TOT,mean,37.48359201411204,37.56157310974344,0.07798109563140088
br_mr,global,EFLX_LH_TOT_MEAN_global,98,EFLX_LH_TOT,mean,37.56931752784114,37.493022129413,0.07629539842814381
ufuel,global,EFLX_LH_TOT_MEAN_global,99,EFLX_LH_TOT,mean,37.488976839992866,37.56378096455383,0.07480412456096275
rh_low,global,EFLX_LH_TOT_MEAN_global,100,EFLX_LH_TOT,mean,37.566318110057225,37.49287036267144,0.07344774738578508
kc_nonmyc,global,EFLX_LH_TOT_MEAN_global,101,EFLX_LH_TOT,mean,37.541086607996725,37.46803983681367,0.07304677118305847
fun_cn_flex_b,global,EFLX_LH_TOT_MEAN_global,102,EFLX_LH_TOT,mean,37.49347087925129,37.56403479368205,0.07056391443075682
tau_s2,global,EFLX_LH_TOT_MEAN_global,103,EFLX_LH_TOT,mean,37.56119133813257,37.49210873575659,0.0690826023759854
snw_rds_refrz,global,EFLX_LH_TOT_MEAN_global,104,EFLX_LH_TOT,mean,37.491833973770134,37.55936227186187,0.06752829809173733
wind_min,global,EFLX_LH_TOT_MEAN_global,105,EFLX_LH_TOT,mean,37.49978808269068,37.56661479773695,0.06682671504627535
som_diffus,global,EFLX_LH_TOT_MEAN_global,106,EFLX_LH_TOT,mean,37.54813575439108,37.48366025417671,0.0644755002143711
decomp_depth_efolding,global,EFLX_LH_TOT_MEAN_global,107,EFLX_LH_TOT,mean,37.35306031010995,37.30046474613194,0.05259556397801646
zlnd,global,EFLX_LH_TOT_MEAN_global,108,EFLX_LH_TOT,mean,37.57119160359604,37.51950841254704,0.05168319104900121
lmrse,global,EFLX_LH_TOT_MEAN_global,109,EFLX_LH_TOT,mean,37.44447094478213,37.394173613537745,0.05029733124438707
denitrif_respiration_coefficient,global,EFLX_LH_TOT_MEAN_global,110,EFLX_LH_TOT,mean,37.560795853678485,37.511433885358954,0.04936196831953055
cc_other,global,EFLX_LH_TOT_MEAN_global,111,EFLX_LH_TOT,mean,37.55382691480282,37.50645200658633,0.04737490821649004
xdrdt,global,EFLX_LH_TOT_MEAN_global,112,EFLX_LH_TOT,mean,37.513877344019605,37.55820363125044,0.04432628723083809
tau_l1,global,EFLX_LH_TOT_MEAN_global,113,EFLX_LH_TOT,mean,37.55384768765005,37.510176173557255,0.04367151409279302
rh_hgh,global,EFLX_LH_TOT_MEAN_global,114,EFLX_LH_TOT,mean,37.55778590136654,37.516411952921956,0.04137394844458697
ndays_off,global,EFLX_LH_TOT_MEAN_global,115,EFLX_LH_TOT,mean,37.51518590269169,37.55588515599824,0.04069925330654911
akn_active,global,EFLX_LH_TOT_MEAN_global,116,EFLX_LH_TOT,mean,37.50166705173744,37.541748592851235,0.040081541113792696
om_frac_sf,global,EFLX_LH_TOT_MEAN_global,117,EFLX_LH_TOT,mean,37.51993826601789,37.56001931459097,0.040081048573078704
tau_s3,global,EFLX_LH_TOT_MEAN_global,118,EFLX_LH_TOT,mean,37.54082239399919,37.50103995483415,0.039782439165044536
flivewd,global,EFLX_LH_TOT_MEAN_global,119,EFLX_LH_TOT,mean,37.55135802266382,37.511845241164345,0.039512781499475125
rf_l3s2_bgc,global,EFLX_LH_TOT_MEAN_global,120,EFLX_LH_TOT,mean,37.50668814015499,37.54498926592252,0.03830112576752498
minrelh,global,EFLX_LH_TOT_MEAN_global,121,EFLX_LH_TOT,mean,37.545607406389045,37.50898753429009,0.03661987209895301
enzyme_turnover_daily,global,EFLX_LH_TOT_MEAN_global,122,EFLX_LH_TOT,mean,37.498876340428,37.53297756324956,0.034101222821561805
ignition_efficiency,global,EFLX_LH_TOT_MEAN_global,123,EFLX_LH_TOT,mean,37.54654749796351,37.51635740859537,0.030190089368140605
fun_cn_flex_a,global,EFLX_LH_TOT_MEAN_global,124,EFLX_LH_TOT,mean,37.51817844349236,37.54679580860452,0.028617365112161508
denitrif_nitrateconc_exponent,global,EFLX_LH_TOT_MEAN_global,125,EFLX_LH_TOT,mean,37.52734593195781,37.55482201101078,0.027476079052966895
tausnir,global,EFLX_LH_TOT_MEAN_global,126,EFLX_LH_TOT,mean,37.546361698177066,37.521188803046364,0.025172895130701534
fun_cn_flex_c,global,EFLX_LH_TOT_MEAN_global,127,EFLX_LH_TOT,mean,37.54452578372395,37.520409648583936,0.024116135140012318
denitrif_respiration_exponent,global,EFLX_LH_TOT_MEAN_global,128,EFLX_LH_TOT,mean,37.524691767256726,37.54815940616918,0.023467638912450184
cc_leaf,global,EFLX_LH_TOT_MEAN_global,129,EFLX_LH_TOT,mean,37.5427959647376,37.519331752596216,0.023464212141384166
FR,global,EFLX_LH_TOT_MEAN_global,130,EFLX_LH_TOT,mean,37.520443527037855,37.54339217186014,0.022948644822285758
rhosvis,global,EFLX_LH_TOT_MEAN_global,131,EFLX_LH_TOT,mean,37.54178347427797,37.51995340260779,0.021830071670180473
ck,global,EFLX_LH_TOT_MEAN_global,132,EFLX_LH_TOT,mean,37.517020980005945,37.537893465669924,0.020872485663979035
cmb_cmplt_fact_litter,global,EFLX_LH_TOT_MEAN_global,133,EFLX_LH_TOT,mean,37.54040658664022,37.52092293855845,0.019483648081774163
LF,global,EFLX_LH_TOT_MEAN_global,134,EFLX_LH_TOT,mean,37.523249124165545,37.542336845473955,0.0190877213084093
cc_dstem,global,EFLX_LH_TOT_MEAN_global,135,EFLX_LH_TOT,mean,37.522622119003096,37.540321878525845,0.017699759522749048
ndays_on,global,EFLX_LH_TOT_MEAN_global,136,EFLX_LH_TOT,mean,37.54482014860574,37.527226057752,0.0175940908537342
n_melt_coef,global,EFLX_LH_TOT_MEAN_global,137,EFLX_LH_TOT,mean,37.53787731207835,37.52454210649572,0.013335205582627907
snowcan_unload_wind_fact,global,EFLX_LH_TOT_MEAN_global,138,EFLX_LH_TOT,mean,37.53295720781598,37.52028211180187,0.012675096014113763
snow_canopy_storage_scalar,global,EFLX_LH_TOT_MEAN_global,139,EFLX_LH_TOT,mean,37.518723317630055,37.53101501455983,0.012291696929771945
fm_other,global,EFLX_LH_TOT_MEAN_global,140,EFLX_LH_TOT,mean,37.535449249196304,37.523174650860014,0.01227459833629041
tkd_sand,global,EFLX_LH_TOT_MEAN_global,141,EFLX_LH_TOT,mean,37.540139370398464,37.52820521920319,0.011934151195276854
rf_l2s1_bgc,global,EFLX_LH_TOT_MEAN_global,142,EFLX_LH_TOT,mean,37.49972354217966,37.511465018699866,0.011741476520207073
wood_density,global,EFLX_LH_TOT_MEAN_global,143,EFLX_LH_TOT,mean,37.53608187037138,37.52438853273628,0.011693337635101386
zsno,global,EFLX_LH_TOT_MEAN_global,144,EFLX_LH_TOT,mean,37.566674441048164,37.55623809016657,0.010436350881590784
akc_active,global,EFLX_LH_TOT_MEAN_global,145,EFLX_LH_TOT,mean,37.533883791813295,37.523641059938896,0.010242731874399169
rf_s2s3_bgc,global,EFLX_LH_TOT_MEAN_global,146,EFLX_LH_TOT,mean,37.52553120110302,37.53543223749465,0.00990103639163209
freelivfix_intercept,global,EFLX_LH_TOT_MEAN_global,147,EFLX_LH_TOT,mean,37.526196188942706,37.535699430297896,0.00950324135519054
snowcan_unload_temp_fact,global,EFLX_LH_TOT_MEAN_global,148,EFLX_LH_TOT,mean,37.523557599369944,37.53275889272564,0.009201293355694418
tau_cwd,global,EFLX_LH_TOT_MEAN_global,149,EFLX_LH_TOT,mean,37.53549161348579,37.52674545402416,0.008746159461630043
lfuel,global,EFLX_LH_TOT_MEAN_global,150,EFLX_LH_TOT,mean,37.52663669377115,37.53529450546708,0.008657811695925943
denitrif_nitrateconc_coefficient,global,EFLX_LH_TOT_MEAN_global,151,EFLX_LH_TOT,mean,37.53680722131799,37.52839992821424,0.008407293103751101
kp25ratio,global,EFLX_LH_TOT_MEAN_global,152,EFLX_LH_TOT,mean,37.52333493540367,37.53174129261299,0.008406357209324256
fm_leaf,global,EFLX_LH_TOT_MEAN_global,153,EFLX_LH_TOT,mean,37.53594157329013,37.527754697095894,0.008186876194237414
cmb_cmplt_fact_cwd,global,EFLX_LH_TOT_MEAN_global,154,EFLX_LH_TOT,mean,37.52502904915934,37.533102362874644,0.008073313715300401
mu,global,EFLX_LH_TOT_MEAN_global,155,EFLX_LH_TOT,mean,37.53009350972549,37.53813169530439,0.008038185578904233
z_dl,global,EFLX_LH_TOT_MEAN_global,156,EFLX_LH_TOT,mean,37.52795943393054,37.53576780098934,0.007808367058800059
ekc_active,global,EFLX_LH_TOT_MEAN_global,157,EFLX_LH_TOT,mean,37.535051932265965,37.527407178857075,0.007644753408889926
cryoturb_diffusion_k,global,EFLX_LH_TOT_MEAN_global,158,EFLX_LH_TOT,mean,37.531835261442254,37.524215400732146,0.007619860710107673
zetamaxstable,global,EFLX_LH_TOT_MEAN_global,159,EFLX_LH_TOT,mean,37.55285596838225,37.54548366068572,0.007372307696527969
tausvis,global,EFLX_LH_TOT_MEAN_global,160,EFLX_LH_TOT,mean,37.53625134313505,37.5291070450085,0.00714429812654771
eta0_vionnet,global,EFLX_LH_TOT_MEAN_global,161,EFLX_LH_TOT,mean,37.52643238843125,37.53089305144762,0.00446066301636705
fm_droot,global,EFLX_LH_TOT_MEAN_global,162,EFLX_LH_TOT,mean,37.52836895155438,37.53241830096779,0.00404934941341395
ekn_active,global,EFLX_LH_TOT_MEAN_global,163,EFLX_LH_TOT,mean,37.539862510310535,37.54362222450167,0.003759714191133412
tkm_om,global,EFLX_LH_TOT_MEAN_global,164,EFLX_LH_TOT,mean,37.53098796383138,37.52728043089194,0.0037075329394369305
C2_liq_Brun89,global,EFLX_LH_TOT_MEAN_global,165,EFLX_LH_TOT,mean,37.528795914162025,37.53219267368221,0.0033967595201858103
wimp,global,EFLX_LH_TOT_MEAN_global,166,EFLX_LH_TOT,mean,37.53159529632754,37.528256288921156,0.003339007406381711
scvng_fct_mlt_sf,global,EFLX_LH_TOT_MEAN_global,167,EFLX_LH_TOT,mean,37.52879425970934,37.52546082458673,0.003333435122613082
rf_l1s1_bgc,global,EFLX_LH_TOT_MEAN_global,168,EFLX_LH_TOT,mean,37.51262833732794,37.50930106837109,0.003327268956851981
