param_name,biome,criteria,rank,variable,measure,xmin,xmax,range
jmaxha,global,EFLX_LH_TOT_MEAN_global,40,EFLX_LH_TOT,mean,39.283408428365505,38.77229838687272,0.5111100414927847
z0mr,global,EFLX_LH_TOT_MEAN_global,41,EFLX_LH_TOT,mean,38.933936679840926,39.425204616343464,0.4912679365025383
froot_leaf,global,EFLX_LH_TOT_MEAN_global,42,EFLX_LH_TOT,mean,39.41331745135513,38.931407271841614,0.48191017951351256
rootprof_beta,global,EFLX_LH_TOT_MEAN_global,43,EFLX_LH_TOT,mean,38.947973601888776,39.39740663905739,0.4494330371686104
frootcn,global,EFLX_LH_TOT_MEAN_global,44,EFLX_LH_TOT,mean,38.952623719754904,39.40109126996721,0.4484675502123068
tpuse_sf,global,EFLX_LH_TOT_MEAN_global,45,EFLX_LH_TOT,mean,39.10433923002611,38.65973136967513,0.44460786035098465
clay_pf,global,EFLX_LH_TOT_MEAN_global,46,EFLX_LH_TOT,mean,38.97418334299065,39.39513067660728,0.42094733361663117
rholnir,global,EFLX_LH_TOT_MEAN_global,47,EFLX_LH_TOT,mean,39.317568493590194,38.89903068567717,0.41853780791302597
cpha,global,EFLX_LH_TOT_MEAN_global,48,EFLX_LH_TOT,mean,39.32290748186617,38.914171353958025,0.40873612790814207
k_nitr_max_perday,global,EFLX_LH_TOT_MEAN_global,49,EFLX_LH_TOT,mean,39.4089349217599,39.010771406720586,0.3981635150393146
fsr_pft,global,EFLX_LH_TOT_MEAN_global,50,EFLX_LH_TOT,mean,39.42123537123304,39.051255673062144,0.36997969817089427
fd_pft,global,EFLX_LH_TOT_MEAN_global,51,EFLX_LH_TOT,mean,39.42065496050249,39.05155529537182,0.36909966513066905
csoilc,global,EFLX_LH_TOT_MEAN_global,52,EFLX_LH_TOT,mean,39.11652094430413,39.46088576014414,0.34436481584000944
jmaxhd,global,EFLX_LH_TOT_MEAN_global,53,EFLX_LH_TOT,mean,38.84945714283206,39.18735273774147,0.337895594909412
theta_ip,global,EFLX_LH_TOT_MEAN_global,54,EFLX_LH_TOT,mean,39.20921347250218,39.54545295264792,0.3362394801457427
xl,global,EFLX_LH_TOT_MEAN_global,55,EFLX_LH_TOT,mean,39.40444070726423,39.07131059170754,0.3331301155566919
tpuhd,global,EFLX_LH_TOT_MEAN_global,56,EFLX_LH_TOT,mean,39.43483841115891,39.104323153041314,0.3305152581175932
freelivfix_slope_wet,global,EFLX_LH_TOT_MEAN_global,57,EFLX_LH_TOT,mean,39.08900764077983,39.412017379524286,0.32300973874445305
rholvis,global,EFLX_LH_TOT_MEAN_global,58,EFLX_LH_TOT,mean,39.05629716200866,39.34553462311879,0.28923746111012605
jmaxse_sf,global,EFLX_LH_TOT_MEAN_global,59,EFLX_LH_TOT,mean,39.187908790685526,38.907797918503455,0.2801108721820711
lmrhd,global,EFLX_LH_TOT_MEAN_global,60,EFLX_LH_TOT,mean,38.762574366936086,39.00389607025564,0.2413217033195565
slopebeta,global,EFLX_LH_TOT_MEAN_global,61,EFLX_LH_TOT,mean,39.143293806114336,39.35774762731728,0.21445382120294454
zbedrock_sf,global,EFLX_LH_TOT_MEAN_global,62,EFLX_LH_TOT,mean,39.093153679363404,39.3057611890249,0.21260750966149544
decomp_depth_efolding,global,EFLX_LH_TOT_MEAN_global,63,EFLX_LH_TOT,mean,39.00123145116659,39.20921347250218,0.20798202133558874
r_mort,global,EFLX_LH_TOT_MEAN_global,64,EFLX_LH_TOT,mean,39.097279382120945,39.2994132996941,0.2021339175731569
br_root,global,EFLX_LH_TOT_MEAN_global,65,EFLX_LH_TOT,mean,39.318171171061195,39.120632674014345,0.19753849704684967
maxpsi_hr,global,EFLX_LH_TOT_MEAN_global,66,EFLX_LH_TOT,mean,39.40644155088159,39.20921347250218,0.19722807837941048
slatop,global,EFLX_LH_TOT_MEAN_global,67,EFLX_LH_TOT,mean,39.10814035285158,39.302228380912155,0.1940880280605768
slopemax,global,EFLX_LH_TOT_MEAN_global,68,EFLX_LH_TOT,mean,39.0832196122587,39.27126633237161,0.1880467201129079
minpsi_hr,global,EFLX_LH_TOT_MEAN_global,69,EFLX_LH_TOT,mean,39.29885897994281,39.11088125534046,0.18797772460234796
taulvis,global,EFLX_LH_TOT_MEAN_global,70,EFLX_LH_TOT,mean,39.12363606779667,39.29435789831568,0.1707218305190139
displar,global,EFLX_LH_TOT_MEAN_global,71,EFLX_LH_TOT,mean,39.12745753339337,39.29207087628049,0.16461334288712237
upplim_destruct_metamorph,global,EFLX_LH_TOT_MEAN_global,72,EFLX_LH_TOT,mean,39.29272650096603,39.14648577374272,0.14624072722331505
pot_hmn_ign_counts_alpha,global,EFLX_LH_TOT_MEAN_global,73,EFLX_LH_TOT,mean,39.27878746609018,39.1437716455285,0.1350158205616765
rh_low,global,EFLX_LH_TOT_MEAN_global,74,EFLX_LH_TOT,mean,39.27295972322983,39.14322434422171,0.1297353790081246
koha,global,EFLX_LH_TOT_MEAN_global,75,EFLX_LH_TOT,mean,39.12265727799851,39.25168959190398,0.1290323139054692
kc_nonmyc,global,EFLX_LH_TOT_MEAN_global,76,EFLX_LH_TOT,mean,39.229505036775514,39.10699116659761,0.1225138701779045
fbw,global,EFLX_LH_TOT_MEAN_global,77,EFLX_LH_TOT,mean,39.10745813556372,39.22648374495458,0.11902560939086015
e_ice,global,EFLX_LH_TOT_MEAN_global,78,EFLX_LH_TOT,mean,39.28385057648624,39.16876682482574,0.11508375166049944
tau_s1,global,EFLX_LH_TOT_MEAN_global,79,EFLX_LH_TOT,mean,39.248367231565055,39.134668442270836,0.11369878929421873
n_baseflow,global,EFLX_LH_TOT_MEAN_global,80,EFLX_LH_TOT,mean,39.20921347250218,39.09563370878631,0.11357976371586886
rstem,global,EFLX_LH_TOT_MEAN_global,81,EFLX_LH_TOT,mean,39.24094067932073,39.128055032270446,0.11288564705028392
relhExp,global,EFLX_LH_TOT_MEAN_global,82,EFLX_LH_TOT,mean,39.123355506178505,39.2326380316529,0.10928252547439143
rhosnir,global,EFLX_LH_TOT_MEAN_global,83,EFLX_LH_TOT,mean,39.263480577465785,39.161331285710645,0.10214929175513987
tau_l2_l3,global,EFLX_LH_TOT_MEAN_global,84,EFLX_LH_TOT,mean,39.22590970027418,39.1299678038888,0.09594189638537642
ko25_coef,global,EFLX_LH_TOT_MEAN_global,85,EFLX_LH_TOT,mean,39.2489898660454,39.15664608803865,0.0923437780067502
ufuel,global,EFLX_LH_TOT_MEAN_global,86,EFLX_LH_TOT,mean,39.16211505053698,39.24959292822579,0.087477877688805
denitrif_respiration_coefficient,global,EFLX_LH_TOT_MEAN_global,87,EFLX_LH_TOT,mean,39.26007834559207,39.17395125233446,0.08612709325760903
jmax25top_sf,global,EFLX_LH_TOT_MEAN_global,88,EFLX_LH_TOT,mean,39.15255862205981,39.23798515031842,0.08542652825861552
pc,global,EFLX_LH_TOT_MEAN_global,89,EFLX_LH_TOT,mean,39.20921347250218,39.291625332855155,0.08241186035297687
croot_stem,global,EFLX_LH_TOT_MEAN_global,90,EFLX_LH_TOT,mean,39.24919503723121,39.16920753077572,0.07998750645548824
snw_rds_refrz,global,EFLX_LH_TOT_MEAN_global,91,EFLX_LH_TOT,mean,39.170839158656285,39.250366863671516,0.07952770501523077
kc25_coef,global,EFLX_LH_TOT_MEAN_global,92,EFLX_LH_TOT,mean,39.136963273867295,39.21644984686186,0.0794865729945684
q10_mr,global,EFLX_LH_TOT_MEAN_global,93,EFLX_LH_TOT,mean,39.12249999205885,39.201479488821896,0.07897949676304705
rh_hgh,global,EFLX_LH_TOT_MEAN_global,94,EFLX_LH_TOT,mean,39.258162021674515,39.182592024270626,0.07556999740388903
